systemSku,Inventory
210000033399,1
210000033400,16
210000040240,2
210000040241,4
210000040242,4
210000040243,4
210000040244,4
210000040245,4
210000040246,1
210000040247,2
210000040248,4
210000040249,2
210000040250,0
210000040251,2
210000040252,1
210000040253,1
210000040254,3
210000040255,5
210000040256,4
210000040257,0
210000040258,1
210000040259,1
210000040260,2
210000040261,3
210000040262,3
210000040263,2
210000040264,0
210000040265,1
210000040266,1
210000040267,0
210000040268,1
210000040269,1
210000040270,0
210000040271,2
210000040272,2
210000040273,4
210000040274,1
210000040275,3
210000040276,1
210000040277,2
210000040278,2
210000040279,4
210000040280,0
210000040281,0
210000040282,0
210000040283,0
210000040284,4
210000040285,4
210000040286,1
210000040287,1
210000040288,0
210000040289,1
210000040290,4
210000040291,5
210000040292,5
210000040293,2
210000040294,1
210000040295,6
210000040296,5
210000040297,4
210000040298,7
210000040299,6
210000040300,3
210000040301,3
210000040302,4
210000040303,6
210000040304,7
210000040305,5
210000040306,1
210000040307,2
210000040308,3
210000040309,5
210000040310,0
210000040311,3
210000040312,1
210000040313,2
210000040314,3
210000040315,4
210000040316,3
210000040317,2
210000040318,3
210000040319,11
210000040320,21
210000040321,8
210000040322,11
210000040323,0
210000040324,1
210000040325,2
210000040326,4
210000040327,5
210000040328,4
210000040329,3
210000040330,1
210000040331,2
210000040332,7
210000040333,15
210000040334,7
210000040335,2
210000040336,1
210000040337,2
210000040338,5
210000040339,14
210000040340,8
210000040341,2
210000040342,17
210000040343,17
210000040344,23
210000040345,23
210000040346,9
210000040347,54
210000040348,51
210000040354,1
210000040355,0
210000040356,2
210000040357,4
210000040358,3
210000040359,4
210000040360,7
210000040361,0
210000040362,1
210000040363,1
210000040364,3
210000040365,5
210000040366,4
210000040367,5
210000040368,7
210000040369,1
210000040374,0
210000040375,0
210000040376,0
210000040377,0
210000040378,3
210000040379,2
210000040380,5
210000040381,0
210000040382,0
210000040383,0
210000040384,0
210000040385,0
210000040386,3
210000040387,4
210000040388,0
210000040389,3
210000040390,3
210000040391,4
210000040392,4
210000040393,3
210000040410,0
210000040411,0
210000040412,0
210000040413,0
210000040414,0
210000040415,0
210000040416,4
210000040417,3
210000040418,27
210000040419,21
210000040659,2
210000040660,1
210000040661,1
210000040662,1
210000040663,1
210000040664,1
210000040665,1
210000041081,0
210000041082,0
210000041083,15
210000041084,0
210000041091,0
210000041092,0
210000041093,0
210000041098,0
210000041099,0
210000041100,0
210000041101,0
210000041102,0
210000041103,0
210000041104,0
210000041105,0
210000041106,0
210000041107,0
210000041108,0
210000041109,0
210000041110,0
210000041111,0
210000041112,0
210000041113,0
210000041114,0
210000041115,0
210000041116,0
210000041117,0
210000041118,0
210000041119,0
210000041120,0
210000041121,0
210000041122,0
210000041123,0
210000041124,0
210000041125,0
210000041126,0
210000041127,0
210000041128,0
210000041129,0
210000041130,0
210000041131,0
210000041132,0
210000041133,0
210000041134,0
210000041135,0
210000041136,0
210000041137,0
210000041138,0
210000041139,0
210000041140,0
210000041141,0
210000041142,0
210000041143,0
210000041144,0
210000041145,0
210000041146,0
210000041147,0
210000041148,0
210000041149,0
210000041150,0
210000041151,0
210000041152,0
210000041153,0
210000041154,0
210000041155,0
210000041156,0
210000041157,0
210000041158,5
210000041159,28
210000041160,21
210000041161,0
210000041162,5
210000041163,11
210000041164,13
210000041165,12
210000041166,15
210000041167,0
210000041168,0
210000041169,0
210000041170,0
210000041171,0
210000041172,0
210000041173,0
210000041179,0
210000041180,0
210000041181,0
210000041182,0
210000041183,0
210000041184,0
210000041185,0
210000041186,0
210000041187,0
210000041188,0
210000041189,0
210000041190,0
210000041191,0
210000041192,0
210000041212,0
210000041213,0
210000041214,0
210000041215,0
210000041216,0
210000041217,0
210000041218,0
210000050537,0
210000050538,0
210000001660,0
210000001661,0
210000001662,1
210000001663,3
210000001665,0
210000001666,0
210000001667,0
210000001668,2
210000001669,0
210000001670,0
210000001671,9
210000001672,0
210000001673,0
210000001674,0
210000001675,0
210000001676,13
210000001677,18
210000001678,5
210000001679,0
210000001680,0
210000001681,1
210000001682,0
210000001683,0
210000001684,0
