description,upc,manufacturerSku,Price_amount,MSRP_amount,rideengine_variants_price,price_difference,update_price
Ride Engine Saber Harness V3 Sunset XL,840362174564,3231511037,350,350,227.00,-123,TRUE
Ride Engine Momentum Harness V3 Black Magic XS,840362174588,3231512000,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Black Magic S,840362174595,3231512001,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Black Magic M,840362174601,3231512003,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Black Magic L,840362174618,3231512005,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Black Magic XL,840362174625,3231512007,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Race Red XS,840362174687,3231512020,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Race Red S,840362174694,3231512021,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Race Red M,840362174700,3231512023,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Race Red L,840362174717,3231512025,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Race Red XL,840362174724,3231512027,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Grey Storm XS,840362174632,3231512010,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Grey Storm S,840362174649,3231512011,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Grey Storm M,840362174656,3231512013,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Grey Storm L,840362174663,3231512015,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Grey Storm XL,840362174670,3231512017,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Sunset XS,840362174731,3231512030,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Sunset S,840362174748,3231512031,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Sunset M,840362174755,3231512033,240,240,192.00,-48,TRUE
Ride Engine Momentum Harness V3 Sunset L,840362174762,3231512035,240,240,192.00,-48,TRUE
Ride Engine Roam Harness V1 XS,840362176469,3231520000,250,250,179.00,-71,TRUE
